null,name,단맛,신맛,청량감,바디감,도수%,탄산,주종,용량,가격,제조사,원재료,index,sex
,병영설성생막걸리,3,2,2,2,6,0,탁주,750ml,3500,병영양조장,"쌀,효모,누룩,정제수",210,5
,병영설성사또,,,,3,40,0,증류주,700ml,40000,병영양조장,"쌀,효모,누룩,정제수",211,5
,병영소주,3,0,3,4,40,0,증류주,700ml,59400,병영주조장,"정제수,보리증류식소주원액",212,5
,복분자아락,2,,,3,40,0,증류주,500ml,40000,농업회사법인배상면주가고창LB,"복분자증류원액,정제수",213,5
,복분자음,2,2,1,3,12,0,과실주,375ml,6000,농업회사법인배상면주가고창LB,"복분자,정제수",214,5
,복순도가손막걸리,2,3,5,4,6.5,1,탁주,935ml,12000,김정식,복순도가,215,5
,볼빨간막걸리10,1,5,4,4,10,0,탁주,500ml,7000,농업회사법인(주)벗드림,"찹쌀,누룩,정제수",216,5
,볼빨간막걸리7,1,4,3,2,7,0,탁주,500ml,5000,농업회사법인(주)벗드림,"찹쌀,누룩,정제수",217,5
,봉하쌀생막걸리,1,2,3,2,6,0,탁주,750ml,2000,농업회사법인(주)죽향도가,"쌀,정제효소,젖산,효모,아스파탐,정제수",218,5
,부안참뽕막걸리,2,1,3,3,6,0,탁주,950ml,2000,내변산(동진주조),"쌀,오디,종국,정제수,누룩,효모,아스파탐",219,5
,부안참뽕와인,3,2,1,4,13,0,과실주,750ml,18000,내변산(동진주조),"오디,정제수,주정",220,5
,부자10,4,1,1,2,10,0,탁주,375ml,5000,배혜정도가,"쌀,정제수,고과당,효모등",221,5
,불소곡주,2,,,4,43,0,기타주류,700ml,30000,한산소곡주,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추",222,5
,붉은원숭이,4,2,2,4,10.8,0,탁주,375ml,7000,술샘,"쌀,누룩,홍국,정제수",223,5
,블루베리이야기,3,1,1,3,12,0,과실주,375ml,6000,농업회사법인산들벗(주),"국내산산머루,블루베리",224,5
,산내울복분자주,4,4,3,3,16,0,기타주류,750ml,20000,거창사과원예농협,"복분자,설탕,주정,정제수,과당",225,5
,산내울사과애주,4,4,3,2,16,0,기타주류,750ml,14000,거창사과원예농협,"사과,설탕,주정,정제수,과당",226,5
,산내울오미자주,2,3,3,2,16,0,기타주류,750ml,20000,거창사과원예농협,"오미자,설탕,주정,정제수,과당",227,5
,산막대덕주,3,1,1,2,13,0,"약주,청주",600ml,20000,농업회사법인신탄진주조(주),"국내산쌀,우리밀누룩",228,5
,산막생유막걸리,1,3,3,4,6,0,탁주,750ml,1200,농업회사법인신탄진주조(주),"국내산쌀,소맥분,종국,효모",229,5
,삼선,1,4,2,2,10,0,탁주,500ml,15000,농업회사법인두루(주),"국내산쌀,누룩,정제수",230,5
,삼양춘생약주,2,1,1,2,15,0,"약주,청주",500ml,20000,송도향전통주조,"강화섬쌀,전통누룩,정제수",231,5
,삼양춘생탁주,2,1,1,4,12.5,0,탁주,500ml,12000,송도향전통주조,"강화섬쌀,전통누룩,정제수",232,5
,삼양춘청주,3,4,2,3,15,0,"약주,청주",500ml,16800,송도향전통주조,"강화섬쌀,정제수,백국,황국,전통누룩,토종효모",233,5
,샤토미소랑,4,3,2,2,12,0,과실주,375ml,20000,도란원,청포도,234,5
,샤토미소레드프리미엄드라이,2,3,2,3,13,0,과실주,750ml,40000,도란원,포도,235,5
,샤토미소스위트,3,1,,3,12,0,과실주,750ml,20000,도란원,"포도,산화방지제,효모,설탕등",236,5
,샤토미소스위트로제,3,1,,2,12,0,과실주,375ml,20000,도란원,"포도,산화방지제,효모,설탕등",237,5
,샤토미소영동,,,,4,40,0,증류주,200ml,30000,도란원,포도,238,5
,샹스프랑보아즈,4,3,3,2,13,0,과실주,500ml,15000,(주)선운산복분자주흥진,"복분자,구연산,과당,구연산,아스파탐,주정,정제수",239,5
,서울의밤,,,,2,25,0,기타주류,375ml,7500,더한주류,"매실증류주원액,벌꿀,,노간주나무열매,정제수",240,5
,서주16,3,2,3,3,16,0,"약주,청주",400ml,22500,오대서주양조,"백미,감자,누룩,효모,정제수",241,5
,석로주,1,1,1,4,13,0,"약주,청주",720ml,34000,석이원주조,"국내산쌀,석이버섯,누룩,효모,정제수",242,5
,석탄주약주,1,3,2,3,15,0,"약주,청주",500ml,7000,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수",243,5
,석탄주탁주,2,3,3,4,15,0,탁주,500ml,6000,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수",244,5
,선운산복분자와인,4,4,3,2,13,0,과실주,300ml,6000,(주)선운산복분자주흥진,"복분자,구연산,과당,구연산,아스파탐,주정,정제수",245,5
,선운산복분자주,4,4,3,2,16,0,과실주,375ml,6250,(주)선운산복분자주흥진,"복분자,과당,구연산,아스파탐,무수아황산",246,5
,선운산복분자주프리미엄,4,3,3,2,19,0,과실주,700ml,40000,(주)선운산복분자주흥진,"복분자,과당,구연산,아스파탐,무수아황산",247,5
,선운산의아침복분자막걸리,2,2,1,4,6,0,탁주,750ml,2333,(농)국순당고창명주(주),"복분자,쌀,효모,국,과당,구연산,젖산,정제수",248,5
,선호생막걸리,2,3,3,3,6,1,탁주,750ml,1700,김포금쌀탁주영농조합법인,"국내산쌀,누룩,효모,정제효소,천연감미료,정제수",249,5
,설궁,2,,,2,30,0,기타주류,700ml,10000,솔래원,"자연산송이버섯,산양산삼,토종벌꿀",250,5
,설레온,2,,,3,40,0,증류주,375ml,20000,농업회사법인대윤가야곡주조(주),"쌀,누룩,효모,정제수",251,5
,설련주,2,4,2,3,16,0,"약주,청주",750ml,35000,영농조합법인석전상온전통주가,"백련,찹쌀,멥쌀,누룩",252,5
,설성만월막걸리,2,3,2,3,8,0,탁주,750ml,4000,병영주조장,"정제수,유기농쌀국내산,누룩,유기농올리고당등",253,5
,설하담,3,1,4,2,8,1,탁주,475ml,3900,리큐랩주식회사,"국내산멥쌀,개량누룩,정제수,이산화탄소",254,5
,성포생막걸리,3,3,3,3,6,0,탁주,750ml,1100,성포양조장,"쌀,소맥분,전분당,정제수,무농약미나리추출액,정제효소,종국,효모,아스파탐",255,5
,세우리,,,,4,45,0,증류주,700ml,250000,제주샘영농조합법인,"산양삼,하수오,구기자,쌀",256,5
,세종대왕어주약주,3,1,1,3,15,0,"약주,청주",500ml,25900,농업회사법인장희도가(주),"쌀,누룩,정제수",257,5
,세종대왕어주탁주,3,3,1,2,13,0,탁주,500ml,16900,농업회사법인장희도가(주),"쌀,누룩,정제수",258,5
,세종쌀막걸리,3,1,3,3,6,0,탁주,750ml,1500,조은술세종,"정제수,백미,소맥분,전분당,효모,젖산등",259,5
,세종알밤주,4,1,3,4,6,0,기타주류,750ml,1500,조은술세종,"정제수,백미,소맥분,알밤,전분당,효모,젖산등",260,5
,세종오가닉,1,3,,1,13,0,"약주,청주",375ml,9000,조은술세종,"정제수,유기농백미,국,효모,정제효소,구연산",261,5
,세종청주생막걸리,2,1,3,3,6,0,탁주,750ml,1500,조은술세종,"쌀,소맥분,국,조제종국,효모,물엿등",262,5
,소나무와학,4,,,4,43,0,증류주,750ml,39000,용두산조은술,"쌀,솔잎,황기,당귀,효모,아스파탐",263,5
,소백산검은콩막걸리,3,1,1,3,6,0,탁주,750ml,1800,대강양조장,"백미,소맥분,검은콩,검은깨등",264,5
,소백산생막걸리,2,3,2,4,6,0,탁주,750ml,1980,대강양조장,"쌀,정제수,소맥분,입국,효모등",265,5
,소백산생만찬주,2,2,2,2,6,0,탁주,750ml,1200,대강양조장,"정제수,쌀,소맥분,입국,효모,아스파탐등",266,5
,소백산오곡진상주,1,4,3,3,7,0,탁주,750ml,1500,대강양조장,"쌀,밀,보리,옥수수,조등",267,5
,소백산청동동주,2,1,2,2,10,0,"약주,청주","1,700ml",3000,대강양조장,"쌀,소맥분,누룩,주정,고과당,대추등",268,5
,소양강생막걸리,1,3,2,3,6,0,탁주,750ml,1200,소양강도가(구.천정양조장),"백미,소맥분,정제수,팽화미,아스파탐,물엿,정제수",269,5
